S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1239,CHANGI RISE CONDOMINIUM,SIMEI RISE,Condominium,18,OCR,99 yrs lease commencing from 2000,Resale,1,1280000,-,1658,Strata,01 to 05,772,Aug-21
1240,WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,845000,-,786,Strata,11 to 15,1075,Aug-21
1241,WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,1270000,-,1378,Strata,01 to 05,922,Aug-21
1242,BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,880000,-,732,Strata,01 to 05,1202,Aug-21
1243,AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW,Condominium,16,OCR,99 yrs lease commencing from 1996,Resale,1,843800,-,893,Strata,11 to 15,944,Aug-21
1244,ESTELLA GARDENS,FLORA ROAD,Condominium,17,OCR,Freehold,Resale,1,980000,-,1141,Strata,01 to 05,859,Aug-21
1245,PALM ISLES,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2011,Resale,1,550000,-,506,Strata,01 to 05,1087,Aug-21
1246,BARTLEY RESIDENCES,LORONG HOW SUN,Apartment,19,OCR,99 yrs lease commencing from 2011,Resale,1,1420000,-,1098,Strata,01 to 05,1293,Aug-21
1247,MELVILLE PARK,SIMEI STREET 1,Condominium,18,OCR,99 yrs lease commencing from 1992,Resale,1,1078000,-,1453,Strata,06 to 10,742,Aug-21
1248,ARCHIPELAGO,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2011,Resale,1,1550000,-,1184,Strata,01 to 05,1309,Aug-21
1249,BARTLEY RESIDENCES,LORONG HOW SUN,Apartment,19,OCR,99 yrs lease commencing from 2011,Resale,1,1350000,-,1098,Strata,01 to 05,1230,Aug-21
1250,REGENTVILLE,HOUGANG STREET 92,Apartment,19,OCR,99 yrs lease commencing from 1996,Resale,1,1230000,-,1744,Strata,11 to 15,705,Aug-21
1251,THE GALE,FLORA ROAD,Condominium,17,OCR,Freehold,Resale,1,1085000,-,1044,Strata,06 to 10,1039,Aug-21
1252,A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,940000,-,775,Strata,11 to 15,1213,Aug-21
1253,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,Resale,1,960000,-,1216,Strata,01 to 05,789,Aug-21
1254,MELVILLE PARK,SIMEI STREET 1,Condominium,18,OCR,99 yrs lease commencing from 1992,Resale,1,715000,-,1044,Strata,01 to 05,685,Aug-21
1255,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,Resale,1,1130000,-,980,Strata,06 to 10,1154,Aug-21
1256,HEDGES PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2010,Resale,1,763000,-,764,Strata,06 to 10,998,Aug-21
1257,ARCHIPELAGO,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2011,Resale,1,1780000,-,1539,Strata,01 to 05,1156,Aug-21
1258,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,1040000,-,947,Strata,11 to 15,1098,Aug-21
1259,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,2188000,-,1701,Strata,16 to 20,1287,Aug-21
1260,PARC OLYMPIA,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2012,Resale,1,1005000,-,1141,Strata,01 to 05,881,Aug-21
1261,BALLOTA PARK CONDOMINIUM,MARIAM WAY,Condominium,17,OCR,Freehold,Resale,1,990000,-,1249,Strata,01 to 05,793,Aug-21
